Fecha,Hora,Turno,Falla_Oficial,Lluvia,ETA_Minutos,Unidades_Cercanas,Velocidad_Norte,Velocidad_Sur,Hotspots_L1
2026-05-21,17:17,Tarde,1,0,12,3,13.0,14.6,5
2026-05-21,17:18,Tarde,1,0,13,3,15.6,14.1,9
2026-05-21,18:13,Tarde,1,0,6,4,16.2,14.7,6
2026-05-21,20:30,Tarde,1,1,1,5,8.8,10.3,14
2026-05-21,20:31,Tarde,1,1,7,3,19.5,16.0,11
2026-05-21,20:31,Tarde,1,1,7,6,5.9,16.9,9
2026-05-21,20:32,Tarde,1,1,7,3,9.7,8.4,14
2026-05-21,20:34,Tarde,1,1,14,4,16.0,8.4,13
2026-05-21,20:35,Tarde,1,1,3,5,15.0,16.8,8
2026-05-21,20:36,Tarde,1,1,7,9,11.3,14.8,8
2026-05-21,20:37,Tarde,1,1,7,4,10.2,13.2,9
2026-05-21,20:39,Tarde,1,1,7,7,11.0,10.8,10
2026-05-21,20:41,Tarde,1,1,12,2,16.3,10.7,11
2026-05-21,20:44,Tarde,1,1,9,4,11.6,13.5,11
2026-05-21,20:47,Tarde,1,1,6,4,18.0,10.0,13
2026-05-21,20:49,Tarde,1,1,5,2,20.4,14.8,9
2026-05-21,20:52,Tarde,1,1,10,3,12.7,14.9,10
2026-05-21,20:53,Tarde,1,1,1,4,10.8,15.0,9
2026-05-21,21:01,Tarde,1,1,7,2,12.7,23.1,6
2026-05-21,21:02,Tarde,1,1,6,3,12.3,13.2,10
2026-05-21,21:13,Tarde,1,1,0,0,24.1,11.3,7
2026-05-21,21:24,Tarde,1,1,0,0,11.3,9.4,12
2026-05-21,21:34,Tarde,1,0,13,2,16.5,12.8,9
2026-05-21,21:46,Tarde,1,0,7,2,10.5,14.9,8
2026-05-21,21:57,Tarde,1,0,2,1,12.8,7.2,11
2026-05-21,22:07,Tarde,1,0,7,1,10.8,12.3,8
2026-05-21,22:18,Tarde,1,0,12,3,11.7,12.3,9
2026-05-21,22:29,Tarde,1,0,7,2,11.3,10.2,6
2026-05-21,22:41,Tarde,1,0,0,0,13.8,12.3,7
2026-05-21,22:52,Tarde,1,0,4,2,4.0,11.5,7
2026-05-21,23:03,Tarde,1,0,1,1,15.3,13.7,3
2026-05-21,23:15,Tarde,1,0,13,3,4.8,16.5,3
2026-05-21,23:26,Tarde,1,0,7,4,7.6,6.4,6
2026-05-21,23:38,Tarde,1,1,1,2,9.9,9.7,5
2026-05-21,23:49,Tarde,1,1,7,1,6.9,11.0,2
2026-05-21,23:59,Tarde,1,1,19,1,11.9,5.4,4
2026-05-22,00:10,Mañana,1,0,0,29,6.6,5.9,2
2026-05-22,00:21,Mañana,1,0,0,33,3.0,2.2,2
2026-05-22,00:31,Mañana,1,1,0,38,7.0,5.0,2
2026-05-22,00:42,Mañana,1,1,0,38,3.9,0.3,3
2026-05-22,00:53,Mañana,1,1,0,37,2.9,2.8,2
2026-05-22,01:05,Mañana,1,1,0,35,1.3,0.0,2
2026-05-22,01:15,Mañana,1,1,0,36,0.0,0.2,2
2026-05-22,06:37,Mañana,1,0,0,7,11.8,14.1,9
2026-05-22,17:38,Tarde,1,1,12,1,14.7,11.9,12
2026-05-25,07:44,Mañana,1,1,0,0,0.0,0.0,0
2026-05-25,17:37,Tarde,1,1,0,0,0.0,0.0,0
2026-05-26,07:26,Mañana,1,0,0,0,0.0,0.0,0
2026-05-26,17:38,Tarde,1,1,0,0,0.0,0.0,0
2026-05-27,07:55,Mañana,1,0,0,0,0.0,0.0,0
2026-05-27,17:43,Tarde,1,0,0,0,0.0,0.0,0
2026-05-28,08:08,Mañana,1,0,0,0,0.0,0.0,0
2026-05-28,17:49,Tarde,1,0,0,0,0.0,0.0,0
2026-05-29,07:41,Mañana,1,0,0,6,10.9,12.6,12
2026-05-29,17:47,Tarde,1,0,0,0,0.0,0.0,0
2026-06-01,10:20,Mañana,1,0,0,9,13.1,12.6,10
2026-06-01,17:49,Tarde,1,1,7,2,12.6,14.3,5
2026-06-02,08:35,Mañana,1,0,0,0,0.0,0.0,0
2026-06-02,18:09,Tarde,1,1,0,0,0.0,0.0,0
2026-06-03,09:11,Mañana,1,0,0,0,0.0,0.0,0
2026-06-03,18:12,Tarde,1,0,0,0,0.0,0.0,0
2026-06-04,07:37,Mañana,1,0,0,0,0.0,0.0,0
2026-06-04,17:44,Tarde,1,0,0,0,0.0,0.0,0
2026-06-05,07:30,Mañana,1,1,0,0,0.0,0.0,0
2026-06-05,17:44,Tarde,1,1,11,2,7.6,8.5,11
2026-06-08,08:32,Mañana,1,1,0,0,0.0,0.0,0
2026-06-08,16:22,Tarde,1,1,1,4,10.1,11.5,12
2026-06-08,17:44,Tarde,1,1,0,0,0.0,0.0,0
2026-06-09,07:21,Mañana,1,0,0,2,15.0,17.6,9
2026-06-09,17:49,Tarde,1,0,14,1,18.9,13.9,10
2026-06-10,07:53,Mañana,1,0,0,4,9.7,10.7,12
2026-06-10,17:55,Tarde,1,1,0,0,0.0,0.0,0
2026-06-11,08:14,Mañana,1,0,0,0,0.0,0.0,0
2026-06-11,17:37,Tarde,1,1,7,1,14.8,9.3,2
2026-06-11,17:59,Tarde,1,0,7,2,5.2,26.2,1
2026-06-12,07:45,Mañana,1,0,0,8,21.1,12.4,13
2026-06-12,17:15,Tarde,1,0,13,1,8.3,10.9,13
2026-06-12,17:58,Tarde,1,0,10,1,6.1,5.4,9
2026-06-15,10:07,Mañana,1,0,0,5,14.8,10.7,14
2026-06-15,18:09,Tarde,1,1,1,3,13.3,10.6,14
2026-06-16,09:24,Mañana,1,0,0,9,7.5,13.4,9
2026-06-16,17:51,Tarde,1,1,16,1,11.7,17.4,9
2026-06-16,17:54,Tarde,1,1,1,2,12.2,9.7,13
2026-06-17,08:06,Mañana,1,0,0,6,20.3,13.0,8
2026-06-17,17:55,Tarde,1,1,3,3,14.8,13.6,8
2026-06-18,07:46,Mañana,1,0,0,5,20.1,16.9,9
2026-06-18,18:08,Tarde,1,1,7,1,5.6,13.1,9
2026-06-19,07:53,Mañana,1,0,0,7,16.0,10.3,12
2026-06-19,17:34,Tarde,1,1,8,3,8.3,14.4,8
2026-06-22,09:34,Mañana,0,0,0,11,5.7,12.1,9
2026-06-22,17:48,Tarde,1,1,7,1,8.3,10.9,10
2026-06-23,07:19,Mañana,1,0,0,5,13.2,13.5,8
2026-06-23,17:34,Tarde,1,1,5,1,5.4,18.0,12
2026-06-24,06:31,Mañana,1,0,0,5,15.0,10.4,11
2026-06-24,17:40,Tarde,1,1,13,2,6.4,11.8,1
2026-06-25,06:36,Mañana,1,1,0,6,6.2,19.0,8
2026-06-25,06:56,Mañana,1,1,0,8,14.8,21.2,8
2026-06-25,17:51,Tarde,1,1,6,1,6.5,10.1,9
2026-06-26,06:28,Mañana,0,0,0,8,18.6,13.7,7
2026-06-26,17:41,Tarde,1,1,15,2,10.8,12.1,10
2026-06-29,08:31,Mañana,1,1,0,4,18.2,10.8,13
2026-06-29,17:33,Tarde,1,0,13,1,14.1,8.7,5
2026-06-30,06:27,Mañana,1,0,0,1,12.0,12.8,5
2026-06-30,17:43,Tarde,1,1,0,0,14.4,5.3,0
2026-07-01,07:15,Mañana,1,1,0,7,6.0,11.1,9
2026-07-01,17:50,Tarde,1,1,14,2,11.7,12.2,12
2026-07-02,06:24,Mañana,0,0,0,7,19.6,14.7,5
